year,sex,firstname,ranking,frequency,mother_age_mean,father_age_mean,mother_age_median,father_age_median,mother_age_stdev,father_age_stdev
2016,Boy,Aaron,19,240,29.5,32.2,29.5,31.5,5.5,6.5
2016,Boy,Adam,24,216,31.1,34.1,31.5,33.5,5.1,6.5
2016,Boy,Aidan,79,86,31.5,33.4,31.5,33,6.5,7.4
2016,Boy,Aiden,70,103,29.1,31.1,29.5,31.5,5.9,6.2
2016,Boy,Alex,89,75,30.3,33.5,30.5,33.5,5.3,6.4
2016,Boy,Alexander,8,302,31.8,34.9,32.5,34.5,5.3,7.1
2016,Boy,Alfie,15,257,29.1,32,28.5,31.5,5.9,6.4
2016,Boy,Andrew,46,135,30.6,33.6,31.5,33.5,6.2,7
2016,Boy,Angus,53,123,33.3,36.4,33.5,36.5,4.9,6.1
2016,Boy,Archie,21,228,30.6,33,30.5,32.5,5.4,6.8
2016,Boy,Arlo,91,73,30.3,32.8,30.5,32.5,4.7,5.7
2016,Boy,Arran,52,127,31.5,33.5,32.5,33.5,5.1,6
2016,Boy,Arthur,87,76,32,33,33,33.5,4.9,5.3
2016,Boy,Ben,62,107,32.8,35,33.5,35.5,4.5,5.9
2016,Boy,Benjamin,51,128,32.4,34.5,32.5,34.5,5.7,6
2016,Boy,Blair,81,83,31.6,34.1,31.5,34.5,4.7,5.7
2016,Boy,Blake,71,102,29.2,31.3,29.5,31.5,5.7,6.3
2016,Boy,Brodie,30,182,31.1,33.7,31.5,34,5.4,6.4
2016,Boy,Caleb,44,141,28.9,31.7,29.5,31.5,5.1,6
2016,Boy,Callan,100,68,31.6,33.8,32,33.5,5,5.6
2016,Boy,Callum,28,194,31.4,33.6,31.5,34.5,5.2,5.8
2016,Boy,Calum,85,80,32.5,34.9,33.5,34.5,5.3,6.6
2016,Boy,Calvin,82,82,28.4,31,28.5,31.5,5.8,7.3
2016,Boy,Cameron,31,181,32,34.4,31.5,34.5,5.1,6.3
2016,Boy,Carter,69,105,27.9,29.7,27.5,29.5,5.4,5.2
2016,Boy,Charlie,10,297,29.4,31.9,29.5,31.5,5.6,6.1
2016,Boy,Christopher,82,82,31.4,33.8,32,34.5,6.3,7.7
2016,Boy,Cody,92,72,27.8,30.4,27.5,31,6.1,7.2
2016,Boy,Cole,57,117,29.6,31.6,28.5,32.5,5.9,6.2
2016,Boy,Connor,41,146,29.8,32.2,29.5,32.5,5.2,6.6
2016,Boy,Conor,98,70,30.8,32.8,30.5,32.5,5.1,5.8
2016,Boy,Cooper,76,93,30.2,32.1,30.5,31.5,5.5,6.4
2016,Boy,Daniel,18,246,31.8,34.4,32.5,34.5,5.3,6.4
2016,Boy,David,54,122,29.9,32.5,30.5,31.5,5.7,7.3
2016,Boy,Dylan,35,158,30.9,33.2,31.5,32.5,5.3,6
2016,Boy,Elliot,87,76,30.7,34,32.5,35.5,6.1,7.2
2016,Boy,Ethan,15,257,31,33.3,31.5,33.5,5.7,6.7
2016,Boy,Euan,85,80,33.8,35.7,34,35.5,4.1,5.4
2016,Boy,Finlay,14,259,31.5,33.6,31.5,33.5,4.9,5.5
2016,Boy,Finn,34,166,32.9,35.3,33.5,35.5,5.1,6
2016,Boy,Fraser,78,87,33.6,35.4,33.5,35.5,4.3,5.1
2016,Boy,Freddie,72,101,28.6,31.1,28.5,31.5,5.2,5.9
2016,Boy,George,62,107,31.6,34.1,31.5,33.5,5,6.6
2016,Boy,Hamish,57,117,32.7,34.6,33.5,34.5,4.9,5.6
2016,Boy,Harris,13,274,31.3,33.3,31.5,32.5,5.1,6
2016,Boy,Harrison,32,180,29.9,32.5,30.5,32,6.2,6.7
